"chr","start","end","name","othernames","status"
"1","2231726","2232726","","","Likely"
"1","2242996","2243496","","","Likely"
"1","2244913","2245413","","","Likely"
"1","2249449","2249949","","","Likely"
"1","2262600","2263600","","","Likely"
"1","2273100","2274100","","","Likely"
"1","2279788","2280288","","","Likely"
"1","2303976","2304976","","","Likely"
"1","2306843","2313843","","","Likely"
"1","2318074","2318574","","","Likely"
"1","2335570","2336070","","","Likely"
"1","2339188","2339688","","","Likely"
"1","2362226","2363226","","","Dubious"
"1","2398588","2399088","","","Likely"
"1","2405446","2405946","","","Likely"
"1","2415476","2416476","","","Dubious"
"1","2419746","2426746","","","Dubious"
"1","2436076","2441085","I-2439","","Confirmed"
"1","2442247","2442747","","","Likely"
"1","2451516","2452016","","","Likely"
"1","2456226","2457226","","","Dubious"
"1","2489229","2489729","","","Likely"
"1","2494595","2501595","","","Likely"
"1","2509226","2510226","","","Dubious"
"1","2524976","2525976","","","Likely"
"1","2527226","2528226","","","Likely"
"1","2562334","2562834","","","Dubious"
"1","2577850","2578850","","","Likely"
"1","2599850","2600850","","","Likely"
"1","2614350","2615350","","","Likely"
"1","2617345","2617845","","","Likely"
"1","2642544","2643044","","","Likely"
"1","2662592","2663092","","","Likely"
"1","2667533","2668033","","","Likely"
"1","2668822","2675822","","","Likely"
"1","2693333","2693833","","","Likely"
"1","2719217","2719717","","","Likely"
"1","2725539","2726039","","","Likely"
"1","2742843","2749843","","","Likely"
"1","2761152","2761652","","","Likely"
"1","2781548","2788548","","","Likely"
"1","2802976","2803976","","","Likely"
"1","2811285","2818285","","","Likely"
"1","2823600","2840600","","","Dubious"
"1","2861835","2862335","","","Likely"
"1","2874476","2875476","","","Likely"
"1","2882571","2883071","","","Likely"
"1","2909296","2916296","","","Likely"
"1","2937350","2938350","","","Dubious"
"1","2959548","2960048","","","Likely"
"1","2976726","2977726","","","Likely"
"1","2979226","2980226","","","Likely"
"1","2982726","2983726","","","Likely"
"1","3009542","3010042","","","Likely"
"1","3022101","3022601","","","Likely"
"1","3031726","3032726","","","Dubious"
"1","3052350","3053350","","","Likely"
"1","3054950","3064070","I-3060","ars766, ars1119, ori1095, AT1098","Confirmed"
"1","3069726","3070726","","","Dubious"
"1","3080600","3097600","","","Dubious"
"1","3126892","3127392","","","Likely"
"1","3143100","3143600","","","Likely"
"1","3143976","3144976","","","Likely"
"1","3157976","3158976","","","Dubious"
"1","3184077","3184577","","","Likely"
"1","3196600","3213600","","","Dubious"
"1","3244954","3249692","I-3247","","Confirmed"
"1","3269610","3270110","","","Likely"
"1","3300336","3300836","","","Likely"
"1","3320532","3321032","","","Likely"
"1","3367600","3384600","","","Dubious"
"1","3404510","3405010","","","Likely"
"1","3409829","3410329","","","Likely"
"1","3443196","3443696","","","Likely"
"1","3457781","3464781","","","Likely"
"1","3497610","3503770","I-3501","","Confirmed"
"1","3521748","3528748","","","Dubious"
"1","3540943","3541443","","","Likely"
"1","3548507","3549007","","","Likely"
"1","3569780","3570280","","","Likely"
"1","3572939","3573439","","","Likely"
"1","3576449","3576949","","","Likely"
"1","3578600","3579600","","","Dubious"
"1","3591726","3592726","","","Dubious"
"1","3599981","3606981","","","Likely"
"1","3610600","3611600","","","Likely"
"1","3634580","3635080","","","Likely"
"1","3645226","3646226","","","Dubious"
"1","3685096","3692096","","","Likely"
"1","3700118","3700618","","","Likely"
"1","3725956","3732956","","","Likely"
"1","3735974","3736474","","","Likely"
"1","3746976","3747976","","","Likely"
"1","3752226","3753226","","","Likely"
"1","3756199","3756699","","","Likely"
"1","3760384","3760884","","","Likely"
"1","3766918","3767418","","","Likely"
"1","3772129","3772629","","","Likely"
"1","3774829","3775329","","","Dubious"
"1","3785422","3785922","","","Likely"
"1","3808240","3815240","","","Dubious"
"1","3839850","3840850","","","Likely"
"1","3852218","3852718","","","Likely"
"1","3861024","3868024","","","Likely"
"1","3870662","3877662","","","Likely"
"1","3877705","3878205","","","Likely"
"1","3881593","3882093","","","Likely"
"1","3897405","3897905","","","Likely"
"1","3951650","3956920","I-3954","","Confirmed"
"1","3991476","3992476","","","Likely"
"1","3995026","3995526","","","Likely"
"1","4008976","4009976","","","Dubious"
"1","4018759","4019259","","","Likely"
"1","4071120","4074730","I-4073","","Confirmed"
"1","4087808","4088308","","","Likely"
"1","4136222","4136722","","","Likely"
"1","4139726","4140726","","","Likely"
"1","4153226","4154226","","","Likely"
"1","4159600","4176600","","","Dubious"
"1","4176726","4177726","","","Dubious"
"1","4179350","4180350","","","Likely"
"1","4184787","4185287","","","Likely"
"1","4196350","4197350","","","Likely"
"1","4231226","4232226","","","Likely"
"1","4238600","4239600","","","Likely"
"1","4253570","4256090","I-4255","","Confirmed"
"1","4274524","4275024","","","Likely"
"1","4288601","4305601","","","Dubious"
"1","4325554","4326054","","","Likely"
"1","4364984","4365484","","","Likely"
"1","4385977","4386977","","","Likely"
"1","4414394","4414894","","","Likely"
"1","4438351","4439351","","","Likely"
"1","4450029","4450529","","","Likely"
"1","4457101","4458101","","","Likely"
"1","4467227","4468227","","","Dubious"
"1","4483227","4484227","","","Likely"
"1","4489453","4496453","","","Likely"
"1","4513697","4520697","","","Likely"
"1","4532946","4533446","","","Likely"
"1","4571188","4578188","","","Likely"
"1","4581282","4588282","","","Likely"
"1","4604253","4604753","","","Likely"
"1","4614983","4621983","","","Likely"
"1","4652367","4652867","","","Likely"
"1","4654050","4661050","","","Likely"
"1","4673601","4674601","","","Likely"
"1","4680304","4687304","","","Likely"
"1","4706220","4706720","","","Likely"
"1","4718906","4725906","","","Dubious"
"1","4739191","4739691","","","Likely"
"1","4778611","4779111","","","Likely"
"1","4802477","4803477","","","Likely"
"1","4820601","4837601","","","Dubious"
"1","4843977","4844977","","","Likely"
"1","4852256","4852756","","","Likely"
"1","4870093","4877093","","","Likely"
"1","4881467","4881967","","","Likely"
"1","4911351","4912351","","","Likely"
"1","4916101","4917101","","","Likely"
"1","4921146","4928146","","","Likely"
"1","4930224","4937224","","","Likely"
"1","4962932","4963432","","","Likely"
"1","4977951","4978451","","","Likely"
"1","4983851","4984851","","","Likely"
"1","4993534","4994034","","","Dubious"
"1","5024390","5026500","I-5025","","Confirmed"
"1","5044910","5047970","I-5046","","Confirmed"
"1","5096487","5096987","","","Likely"
"1","5136382","5143382","","","Likely"
"1","5155482","5155982","","","Likely"
"1","5156601","5173601","","","Dubious"
"1","5177227","5178227","","","Likely"
"1","5188977","5189977","","","Likely"
"1","5233415","5233915","","","Likely"
"1","5252825","5253325","","","Likely"
"1","5270464","5270964","","","Dubious"
"1","5270977","5271977","","","Dubious"
"1","5321675","5322175","","","Likely"
"1","5337601","5354601","","","Dubious"
"1","5392739","5393239","","","Likely"
"1","5414601","5431601","","","Dubious"
"1","5435264","5435764","","","Likely"
"1","5448278","5448778","","","Likely"
"1","5468977","5469977","","","Dubious"
"1","5475872","5476372","","","Likely"
"1","5481704","5482204","","","Likely"
"1","5486101","5487101","","","Likely"
"1","5497714","5498214","","","Likely"
"1","5501090","5501590","","","Likely"
"1","5503925","5504425","","","Likely"
"1","5505227","5506227","","","Likely"
"1","5509477","5510477","","","Likely"
"1","5515601","5516601","","","Dubious"
"1","5520781","5521281","","","Likely"
"1","5529016","5529516","","","Likely"
"1","5532515","5533015","","","Likely"
"1","5539751","5540251","","","Likely"
"1","5544611","5545111","","","Likely"
"1","5554634","5555134","","","Likely"
"1","5558630","5559130","","","Likely"
"1","5568279","5568779","","","Likely"
"1","5570709","5571209","","","Likely"
"1","5576622","5577122","","","Dubious"
"2","6447","6947","","","Dubious"
"2","22816","25265","II-24","","Confirmed"
"2","31591","31591","II-32","","Confirmed"
"2","37740","38240","","","Likely"
"2","44166","44666","","","Dubious"
"2","52697","53197","","","Likely"
"2","62126","63126","","","Dubious"
"2","66198","66698","","","Likely"
"2","67791","68291","","","Dubious"
"2","69376","70376","","","Dubious"
"2","74379","74879","","","Likely"
"2","77626","78626","","","Dubious"
"2","80226","81226","","","Likely"
"2","85845","86345","","","Likely"
"2","89868","90368","","","Likely"
"2","93972","94472","","","Likely"
"2","96780","97280","","","Likely"
"2","99534","100034","","","Likely"
"2","102504","103004","","","Likely"
"2","103226","104226","","","Likely"
"2","108849","109349","","","Likely"
"2","110600","111600","","","Likely"
"2","115275","115775","","","Likely"
"2","116226","117226","","","Likely"
"2","121566","122066","","","Likely"
"2","130260","130760","","","Dubious"
"2","131100","132100","","","Dubious"
"2","140979","141479","","","Likely"
"2","150996","151496","","","Likely"
"2","200900","201400","","","Likely"
"2","203465","203965","","","Likely"
"2","227476","228476","","","Dubious"
"2","258109","258609","","","Likely"
"2","259600","276600","","","Dubious"
"2","277495","277995","","","Likely"
"2","280976","281976","","","Likely"
"2","285157","292157","","","Likely"
"2","315018","315518","","","Likely"
"2","322726","323726","","","Likely"
"2","325737","326237","","","Likely"
"2","332082","332582","","","Likely"
"2","354726","355726","","","Likely"
"2","356927","363927","","","Likely"
"2","408513","409013","","","Likely"
"2","431812","432312","","","Dubious"
"2","446642","450040","II-448","","Confirmed"
"2","453321","453821","","","Likely"
"2","455815","462815","","","Likely"
"2","483726","484726","","","Likely"
"2","509499","516499","","","Likely"
"2","517226","518226","","","Likely"
"2","519715","520215","","","Likely"
"2","521976","522976","","","Likely"
"2","528100","529100","","","Likely"
"2","552600","569600","","","Dubious"
"2","569650","570150","","","Likely"
"2","591726","592726","","","Likely"
"2","602618","604826","II-604","","Confirmed"
"2","636281","636781","","","Likely"
"2","645366","652366","","","Dubious"
"2","668850","669850","","","Likely"
"2","673729","674229","","","Likely"
"2","680448","687448","","","Likely"
"2","716350","717350","","","Likely"
"2","720476","721476","","","Likely"
"2","722600","723600","","","Likely"
"2","745412","745912","","","Likely"
"2","749027","756027","","","Likely"
"2","793600","810600","","","Dubious"
"2","823461","823961","","","Likely"
"2","832476","833476","","","Likely"
"2","837226","838226","","","Likely"
"2","839976","840976","","","Likely"
"2","842630","843130","","","Likely"
"2","847112","847612","","","Likely"
"2","889045","889545","","","Dubious"
"2","890476","891476","","","Dubious"
"2","914674","915174","","","Likely"
"2","935485","942485","","","Dubious"
"2","948659","949159","","","Likely"
"2","956873","957373","","","Likely"
"2","961476","962476","","","Likely"
"2","1007207","1007707","","","Likely"
"2","1016211","1023211","","","Likely"
"2","1044711","1051711","","","Likely"
"2","1054476","1055476","","","Likely"
"2","1055971","1062971","","","Likely"
"2","1078600","1079600","","","Likely"
"2","1105167","1105667","","","Likely"
"2","1141484","1141984","","","Likely"
"2","1147350","1148350","","","Likely"
"2","1155760","1156260","","","Likely"
"2","1166477","1173477","","","Likely"
"2","1209600","1226600","","","Dubious"
"2","1243600","1244600","","","Likely"
"2","1251520","1256880","II-1254","","Confirmed"
"2","1264603","1265103","","","Likely"
"2","1266115","1266615","","","Likely"
"2","1268226","1269226","","","Likely"
"2","1276310","1279810","II-1278","","Confirmed"
"2","1306596","1307096","","","Likely"
"2","1312671","1313171","","","Likely"
"2","1350226","1351226","","","Dubious"
"2","1365476","1366476","","","Dubious"
"2","1388600","1389600","","","Likely"
"2","1425719","1432719","","","Likely"
"2","1443334","1443834","","","Likely"
"2","1456355","1456855","","","Likely"
"2","1460976","1461976","","","Likely"
"2","1499600","1500600","","","Likely"
"2","1527579","1534579","","","Dubious"
"2","1545160","1549690","II-1547","","Confirmed"
"2","1549922","1550422","","","Likely"
"2","1555600","1556600","","","Likely"
"2","1588624","1589124","","","Likely"
"2","1600452","1600952","","","Dubious"
"2","1605970","1644600","II-1625","","Confirmed"
"2","1645762","1646262","","","Likely"
"2","1654576","1655576","","","Likely"
"2","1665700","1666700","","","Likely"
"2","1680950","1681950","","","Dubious"
"2","1684717","1685217","","","Dubious"
"2","1697032","1697532","","","Dubious"
"2","1698362","1705362","","","Likely"
"2","1705826","1706826","","","Likely"
"2","1716326","1717326","","","Likely"
"2","1749076","1750076","","","Likely"
"2","1762513","1769513","","","Likely"
"2","1777950","1778950","","","Likely"
"2","1804950","1805950","","","Likely"
"2","1867659","1868159","","","Likely"
"2","1892326","1893326","","","Likely"
"2","1920700","1937700","","","Dubious"
"2","1941326","1942326","","","Likely"
"2","1952576","1953576","","","Likely"
"2","1963450","1964450","","","Likely"
"2","1974700","1991700","","","Dubious"
"2","2022885","2023385","","","Likely"
"2","2035326","2035826","","","Likely"
"2","2051703","2052203","","","Likely"
"2","2069601","2070101","","","Likely"
"2","2103790","2107820","II-2106","","Confirmed"
"2","2110200","2111200","","","Dubious"
"2","2116510","2120490","II-2119","","Confirmed"
"2","2128780","2129280","","","Likely"
"2","2131805","2132305","","","Likely"
"2","2137016","2137516","","","Likely"
"2","2155229","2162229","","","Dubious"
"2","2176576","2177576","","","Likely"
"2","2184460","2190480","II-2187","","Confirmed"
"2","2202660","2209660","","","Likely"
"2","2219700","2236700","","","Dubious"
"2","2246172","2246672","","","Likely"
"2","2265076","2266076","","","Likely"
"2","2318625","2319125","","","Likely"
"2","2338326","2339326","","","Likely"
"2","2370061","2377061","","","Dubious"
"2","2410592","2411092","","","Likely"
"2","2428187","2435187","","","Likely"
"2","2442837","2443337","","","Likely"
"2","2450700","2467700","","","Dubious"
"2","2498025","2498525","","","Likely"
"2","2523076","2524076","","","Likely"
"2","2530576","2531576","","","Dubious"
"2","2552495","2552995","","","Likely"
"2","2563299","2563799","","","Likely"
"2","2580450","2584420","II-2582","","Confirmed"
"2","2593520","2594020","","","Likely"
"2","2597116","2604116","","","Dubious"
"2","2612326","2613326","","","Dubious"
"2","2621949","2628949","","","Likely"
"2","2632235","2632735","","","Likely"
"2","2640551","2641051","","","Likely"
"2","2647700","2648700","","","Dubious"
"2","2669578","2676578","","","Likely"
"2","2701511","2702011","","","Likely"
"2","2738603","2739103","","","Likely"
"2","2770433","2777433","","","Dubious"
"2","2789090","2792428","II-2791","","Confirmed"
"2","2797803","2802471","II-2800","","Confirmed"
"2","2828497","2828997","","","Likely"
"2","2849700","2866700","","","Dubious"
"2","2900541","2901041","","","Likely"
"2","2909576","2910576","","","Likely"
"2","2931051","2931551","","","Likely"
"2","2938794","2939294","","","Likely"
"2","2986255","2986755","","","Likely"
"2","3003859","3004359","","","Dubious"
"2","3023700","3040700","","","Dubious"
"2","3051919","3052419","","","Likely"
"2","3066538","3073538","","","Likely"
"2","3097495","3097995","","","Likely"
"2","3133749","3140749","","","Likely"
"2","3152739","3153239","","","Likely"
"2","3153350","3155500","II-3154","","Confirmed"
"2","3161326","3162326","","","Likely"
"2","3175629","3176129","","","Likely"
"2","3199403","3199903","","","Dubious"
"2","3229865","3236865","","","Likely"
"2","3237473","3237973","","","Likely"
"2","3287095","3287595","","","Likely"
"2","3295700","3312700","","","Dubious"
"2","3332934","3333434","","","Likely"
"2","3333930","3335780","II-3335","","Confirmed"
"2","3337076","3338076","","","Likely"
"2","3342830","3346970","II-3345","","Confirmed"
"2","3355220","3360100","II-3358","","Confirmed"
"2","3361380","3363940","II-3363","","Confirmed"
"2","3371880","3376410","II-3374","","Confirmed"
"2","3378942","3379442","","","Likely"
"2","3396620","3400300","II-3398","","Confirmed"
"2","3407746","3408246","","","Likely"
"2","3414211","3421211","","","Likely"
"2","3421951","3422451","","","Likely"
"2","3456700","3457200","","","Dubious"
"2","3466076","3467076","","","Likely"
"2","3487450","3488450","","","Likely"
"2","3491061","3491561","","","Likely"
"2","3501700","3502700","","","Dubious"
"2","3510076","3511076","","","Likely"
"2","3512826","3513826","","","Likely"
"2","3556322","3556822","","","Likely"
"2","3590504","3591004","","","Likely"
"2","3596826","3597826","","","Likely"
"2","3605013","3605513","","","Likely"
"2","3634686","3635186","","","Likely"
"2","3659363","3659863","","","Likely"
"2","3681180","3681680","","","Likely"
"2","3701826","3702826","","","Dubious"
"2","3720115","3720615","","","Likely"
"2","3750512","3757512","","","Likely"
"2","3762321","3762821","","","Likely"
"2","3777076","3778076","","","Dubious"
"2","3801826","3802826","","","Likely"
"2","3814700","3815700","","","Likely"
"2","3822836","3829836","","","Likely"
"2","3838758","3839258","","","Likely"
"2","3861700","3878700","","","Dubious"
"2","3897483","3897983","","","Likely"
"2","3899562","3900062","","","Likely"
"2","3915762","3916262","","","Likely"
"2","3926076","3927076","","","Dubious"
"2","3937948","3938448","","","Likely"
"2","3944422","3944922","","","Likely"
"2","3974450","3975450","","","Likely"
"2","3984076","3985076","","","Dubious"
"2","3989728","3990228","","","Dubious"
"2","3991700","4008700","","","Dubious"
"2","4018995","4019495","","","Likely"
"2","4029730","4030230","","","Likely"
"2","4030450","4031450","","","Likely"
"2","4033076","4034076","","","Likely"
"2","4036700","4053700","","","Dubious"
"2","4059700","4076700","","","Dubious"
"2","4107042","4107542","","","Likely"
"2","4128826","4129826","","","Likely"
"2","4138290","4144110","II-4141","","Confirmed"
"2","4171852","4172352","","","Likely"
"2","4173876","4180876","","","Likely"
"2","4202364","4202864","","","Likely"
"2","4225826","4226826","","","Likely"
"2","4236326","4237326","","","Likely"
"2","4251450","4252450","","","Likely"
"2","4292018","4292518","","","Likely"
"2","4343700","4344700","","","Dubious"
"2","4360066","4360566","","","Likely"
"2","4368077","4375077","","","Likely"
"2","4411326","4412326","","","Likely"
"2","4419651","4420151","","","Likely"
"2","4425576","4426576","","","Likely"
"2","4433081","4440081","","","Likely"
"2","4440408","4440908","","","Likely"
"2","4451519","4452019","","","Likely"
"2","4453826","4454826","","","Likely"
"2","4456576","4457576","","","Likely"
"2","4468664","4469164","","","Likely"
"2","4490614","4491114","","","Dubious"
"2","4506009","4506509","","","Dubious"
"3","3479","3479","III-3","","Confirmed"
"3","4692","5192","","","Dubious"
"3","15572","16072","","","Dubious"
"3","34797","35297","","","Likely"
"3","50597","57597","","","Likely"
"3","65549","72549","","","Likely"
"3","76296","76796","","","Likely"
"3","83500","100500","","","Dubious"
"3","105193","112193","","","Dubious"
"3","118706","121296","III-120","","Confirmed"
"3","121296","125512","III-123","","Confirmed"
"3","140500","157500","","","Dubious"
"3","188126","189126","","","Likely"
"3","206798","207298","","","Likely"
"3","231855","232355","","","Likely"
"3","247783","248283","","","Likely"
"3","253695","254195","","","Likely"
"3","278250","279250","","","Likely"
"3","286257","286757","","","Likely"
"3","305376","306376","","","Likely"
"3","308694","309194","","","Likely"
"3","311046","318046","","","Likely"
"3","328018","335018","","","Likely"
"3","347126","348126","","","Dubious"
"3","369444","369944","","","Likely"
"3","397578","398078","","","Likely"
"3","472530","473030","","","Likely"
"3","505173","505673","","","Likely"
"3","518619","519119","","","Likely"
"3","524499","531499","","","Likely"
"3","554883","561883","","","Dubious"
"3","565059","565559","","","Likely"
"3","574833","575333","","","Likely"
"3","605000","606000","","","Likely"
"3","612162","619162","","","Dubious"
"3","642792","643292","","","Likely"
"3","666066","666566","","","Likely"
"3","719526","720026","","","Likely"
"3","763626","764626","","","Likely"
"3","765291","765791","","","Likely"
"3","817051","824051","","","Likely"
"3","827229","827729","","","Likely"
"3","847376","848376","","","Likely"
"3","853770","854270","","","Likely"
"3","902549","909549","","","Likely"
"3","936538","937038","","","Likely"
"3","966626","967626","","","Likely"
"3","971285","971785","","","Likely"
"3","985500","986500","","","Likely"
"3","1018500","1035500","","","Dubious"
"3","1039136","1039636","","","Likely"
"3","1055159","1062159","","","Dubious"
"3","1065262","1065762","","","Likely"
"3","1076275","1076775","","","Dubious"
"3","1090370","1090870","","","Dubious"
"3","1096216","1096716","","","Dubious"
"3","1098350","1098850","","","Dubious"
"3","1102293","1102793","","","Dubious"
"3","1108042","1108542","","","Dubious"
"3","1113522","1114022","","","Dubious"
"3","1120301","1120801","","","Dubious"
"3","1127054","1127554","","","Dubious"
"3","1133819","1134319","","","Likely"
"3","1140600","1141600","","","Likely"
"3","1190123","1197123","","","Likely"
"3","1252427","1252927","","","Likely"
"3","1268300","1285300","","","Dubious"
"3","1322789","1323289","","","Likely"
"3","1338152","1338652","","","Likely"
"3","1341976","1342976","","","Likely"
"3","1370498","1370998","","","Likely"
"3","1372476","1373476","","","Likely"
"3","1392226","1393226","","","Likely"
"3","1395476","1396476","","","Likely"
"3","1410590","1412630","III-1412","","Confirmed"
"3","1414850","1419450","III-1417","","Confirmed"
"3","1448231","1448731","","","Likely"
"3","1469300","1486300","","","Dubious"
"3","1510601","1511101","","","Likely"
"3","1523476","1524476","","","Likely"
"3","1531027","1531527","","","Likely"
"3","1554976","1555976","","","Likely"
"3","1575350","1576350","","","Likely"
"3","1594045","1594545","","","Likely"
"3","1608274","1608774","","","Likely"
"3","1612648","1613148","","","Likely"
"3","1653853","1660853","","","Likely"
"3","1671476","1672476","","","Likely"
"3","1674350","1675350","","","Dubious"
"3","1679226","1680226","","","Likely"
"3","1684009","1684509","","","Likely"
"3","1684726","1685726","","","Likely"
"3","1689166","1689666","","","Likely"
"3","1717810","1720480","III-1719","","Confirmed"
"3","1721976","1722976","","","Likely"
"3","1727182","1727682","","","Likely"
"3","1753350","1754350","","","Likely"
"3","1813600","1814600","","","Likely"
"3","1820370","1827480","III-1824","","Confirmed"
"3","1837380","1839930","III-1839","","Confirmed"
"3","1842090","1846360","III-1844","","Confirmed"
"3","1859600","1860600","","","Likely"
"3","1866502","1867002","","","Likely"
"3","1877476","1878476","","","Dubious"
"3","1880603","1887603","","","Dubious"
"3","1921726","1922726","","","Likely"
"3","1928683","1929183","","","Likely"
"3","1935350","1936350","","","Dubious"
"3","1968100","1969100","","","Likely"
"3","1971281","1978281","","","Likely"
"3","2018701","2025701","","","Dubious"
"3","2035063","2035563","","","Likely"
"3","2036600","2037600","","","Likely"
"3","2041226","2042226","","","Likely"
"3","2045100","2046100","","","Dubious"
"3","2063100","2064100","","","Likely"
"3","2067226","2068226","","","Likely"
"3","2071226","2072226","","","Likely"
"3","2075100","2076100","","","Dubious"
"3","2100509","2101009","","","Likely"
"3","2107205","2107705","","","Likely"
"3","2116507","2117007","","","Likely"
"3","2136297","2143297","","","Likely"
"3","2200504","2201004","","","Likely"
"3","2215521","2222521","","","Likely"
"3","2257100","2258100","","","Dubious"
"3","2275915","2276415","","","Likely"
"3","2299726","2300726","","","Likely"
"3","2308315","2308815","","","Likely"
"3","2335123","2342123","","","Likely"
"3","2363773","2364273","","","Likely"
"3","2381890","2382390","","","Likely"
"3","2406300","2423300","","","Dubious"
"3","2426143","2426643","","","Likely"
"3","2428573","2429073","","","Likely"
"3","2430490","2437490","","","Dubious"
"3","2448078","2448578","","","Dubious"
